source_url	relpath	status
https://yandex.ru/support/metrica/ru/general/a-commerce-autogoals	ru/general/a-commerce-autogoals.md	ok
https://yandex.ru/support/metrica/ru/general/acc-settings	ru/general/acc-settings.md	ok
https://yandex.ru/support/metrica/ru/general/access-filters	ru/general/access-filters.md	ok
https://yandex.ru/support/metrica/ru/general/access	ru/general/access.md	ok
https://yandex.ru/support/metrica/ru/general/advanced-matching	ru/general/advanced-matching.md	ok
https://yandex.ru/support/metrica/ru/general/alternative-domain	ru/general/alternative-domain.md	ok
https://yandex.ru/support/metrica/ru/general/auto-goals	ru/general/auto-goals.md	ok
https://yandex.ru/support/metrica/ru/general/auto-tag	ru/general/auto-tag.md	ok
https://yandex.ru/support/metrica/ru/general/call-goal	ru/general/call-goal.md	ok
https://yandex.ru/support/metrica/ru/general/chat-goal	ru/general/chat-goal.md	ok
https://yandex.ru/support/metrica/ru/general/check-counter	ru/general/check-counter.md	ok
https://yandex.ru/support/metrica/ru/general/check-goal	ru/general/check-goal.md	ok
https://yandex.ru/support/metrica/ru/general/check-list	ru/general/check-list.md	ok
https://yandex.ru/support/metrica/ru/general/choose-goal	ru/general/choose-goal.md	ok
https://yandex.ru/support/metrica/ru/general/clientid-userid	ru/general/clientid-userid.md	ok
https://yandex.ru/support/metrica/ru/general/confidential-data	ru/general/confidential-data.md	ok
https://yandex.ru/support/metrica/ru/general/cookie-usage	ru/general/cookie-usage.md	ok
https://yandex.ru/support/metrica/ru/general/counter-general	ru/general/counter-general.md	ok
https://yandex.ru/support/metrica/ru/general/counter-webvisor	ru/general/counter-webvisor.md	ok
https://yandex.ru/support/metrica/ru/general/creating-counter	ru/general/creating-counter.md	ok
https://yandex.ru/support/metrica/ru/general/debugger	ru/general/debugger.md	ok
https://yandex.ru/support/metrica/ru/general/delete-data	ru/general/delete-data.md	ok
https://yandex.ru/support/metrica/ru/general/direct-reports	ru/general/direct-reports.md	ok
https://yandex.ru/support/metrica/ru/general/direct	ru/general/direct.md	ok
https://yandex.ru/support/metrica/ru/general/e-commerce-autogoals	ru/general/e-commerce-autogoals.md	ok
https://yandex.ru/support/metrica/ru/general/events	ru/general/events.md	ok
https://yandex.ru/support/metrica/ru/general/favorite-goals	ru/general/favorite-goals.md	ok
https://yandex.ru/support/metrica/ru/general/filters	ru/general/filters.md	ok
https://yandex.ru/support/metrica/ru/general/gdpr	ru/general/gdpr.md	ok
https://yandex.ru/support/metrica/ru/general/glossary	ru/general/glossary.md	ok
https://yandex.ru/support/metrica/ru/general/goal-js-event	ru/general/goal-js-event.md	ok
https://yandex.ru/support/metrica/ru/general/goal-page-views	ru/general/goal-page-views.md	ok
https://yandex.ru/support/metrica/ru/general/goal-page-visit	ru/general/goal-page-visit.md	ok
https://yandex.ru/support/metrica/ru/general/goal-retargeting	ru/general/goal-retargeting.md	ok
https://yandex.ru/support/metrica/ru/general/goal-steps	ru/general/goal-steps.md	ok
https://yandex.ru/support/metrica/ru/general/goal-visit-duration	ru/general/goal-visit-duration.md	ok
https://yandex.ru/support/metrica/ru/general/goals-changes-notconv	ru/general/goals-changes-notconv.md	ok
https://yandex.ru/support/metrica/ru/general/goals-changes	ru/general/goals-changes.md	ok
https://yandex.ru/support/metrica/ru/general/goals	ru/general/goals.md	ok
https://yandex.ru/support/metrica/ru/general/how-it-works	ru/general/how-it-works.md	ok
https://yandex.ru/support/metrica/ru/general/insights	ru/general/insights.md	ok
https://yandex.ru/support/metrica/ru/general/ip-masking	ru/general/ip-masking.md	ok
https://yandex.ru/support/metrica/ru/general/limits	ru/general/limits.md	ok
https://yandex.ru/support/metrica/ru/general/link-webmaster	ru/general/link-webmaster.md	ok
https://yandex.ru/support/metrica/ru/general/market	ru/general/market.md	ok
https://yandex.ru/support/metrica/ru/general/measurement-protocol	ru/general/measurement-protocol.md	ok
https://yandex.ru/support/metrica/ru/general/multi	ru/general/multi.md	ok
https://yandex.ru/support/metrica/ru/general/my-counters	ru/general/my-counters.md	ok
https://yandex.ru/support/metrica/ru/general/notification	ru/general/notification.md	ok
https://yandex.ru/support/metrica/ru/general/notifications	ru/general/notifications.md	ok
https://yandex.ru/support/metrica/ru/general/opt-out	ru/general/opt-out.md	ok
https://yandex.ru/support/metrica/ru/general/other-features	ru/general/other-features.md	ok
https://yandex.ru/support/metrica/ru/general/parameters-goal	ru/general/parameters-goal.md	ok
https://yandex.ru/support/metrica/ru/general/people	ru/general/people.md	ok
https://yandex.ru/support/metrica/ru/general/price-goal	ru/general/price-goal.md	ok
https://yandex.ru/support/metrica/ru/general/qrcode	ru/general/qrcode.md	ok
https://yandex.ru/support/metrica/ru/general/recommend-goals	ru/general/recommend-goals.md	ok
https://yandex.ru/support/metrica/ru/general/regexp	ru/general/regexp.md	ok
https://yandex.ru/support/metrica/ru/general/robots	ru/general/robots.md	ok
https://yandex.ru/support/metrica/ru/general/rsya-auto-placement	ru/general/rsya-auto-placement.md	ok
https://yandex.ru/support/metrica/ru/general/safari-cookie	ru/general/safari-cookie.md	ok
https://yandex.ru/support/metrica/ru/general/search-query-sup	ru/general/search-query-sup.md	ok
https://yandex.ru/support/metrica/ru/general/segmentation-examples	ru/general/segmentation-examples.md	ok
https://yandex.ru/support/metrica/ru/general/segmentation-report	ru/general/segmentation-report.md	ok
https://yandex.ru/support/metrica/ru/general/segmentation-retargeting	ru/general/segmentation-retargeting.md	ok
https://yandex.ru/support/metrica/ru/general/segmentation-segments	ru/general/segmentation-segments.md	ok
https://yandex.ru/support/metrica/ru/general/segmentation	ru/general/segmentation.md	ok
https://yandex.ru/support/metrica/ru/general/site-profile	ru/general/site-profile.md	ok
https://yandex.ru/support/metrica/ru/general/source-tags	ru/general/source-tags.md	ok
https://yandex.ru/support/metrica/ru/general/sources-qanda	ru/general/sources-qanda.md	ok
https://yandex.ru/support/metrica/ru/general/sources-tracking	ru/general/sources-tracking.md	ok
https://yandex.ru/support/metrica/ru/general/sst	ru/general/sst.md	ok
https://yandex.ru/support/metrica/ru/general/tag-counter	ru/general/tag-counter.md	ok
